3022,4921
1261,1665
1557,1045
6937,4191
9416,6813
8248,2908
-76,-3145
-2432,663
-3017,-229
-5011,-359
-2088,1414
-2393,2663
-446,4298
3590,6693
1278,2186
-6352,-7200
-7102,-4279
-6582,-1930
-2174,-2828
-650,-933
1167,-862
3610,-2254
-1635,-8741
-2358,-10015
-293,-3590
5338,3402
5832,4536
1720,4675
1964,5450
2748,5823
4921,5349
3740,3103
492,370
1135,1648
4545,3154
3207,1528
-4632,-3710
-1967,871
-2558,1663
-6177,-271
1068,-1036
5613,2402
2679,6740
491,2559
4004,815
4618,6086
-2485,1598
-2240,-1605
1372,691
-711,-888
-3432,-5456
-4812,-3603
-3333,-4126
-2143,-1062
-5370,-811
-4193,-703
-1263,-1238
-3579,-5444
-6239,-8575
-5864,-5639
-3571,-4706
-2383,-4260
868,2821
-710,5037
1334,3316
6180,821
3634,1460
-35,1471
-4808,-7261
-3671,-6162
5141,2460
718,5110
-4397,1581
3582,4445
11047,8662
3647,4157
-1345,-4231
1442,-3861
-2932,-3141
-6445,-6143
-2242,-4401
484,-2424
2947,2534
3220,3565
2044,-1194
4376,1237
1686,2509
311,3190
-246,2450
-1767,-1753
-524,-3171
-3251,-5216
-1656,-3548
4349,-1186
2288,1340
1477,4265
14,4820
-2666,-2586
-3533,-3213
-1493,157
4604,2339
5447,3000
418,-214
-4891,-628
-1746,5238
4958,5891
-645,-1306
-5147,264
4362,4357
7172,-2713
-6050,-11678
-13224,-13240
-781,-1907
1413,-453
-8207,-3550
-4480,-7
6768,5302
7695,7297
-2136,1862
-3211,-5579
9330,2898
10858,12427
-314,5996
2259,3432
10847,13986
9251,10185
-3198,-3624
-8874,-7375
2810,-3636
4991,-4131
-3739,-7657
432,-995
7506,4709
3166,2909
-1449,3225
-5186,2484
-4820,-1474
-2050,281
-7014,-3223
-9630,-6196
771,-3754
3233,-1547
-696,-1615
-1520,-318
-3584,-1631
-509,782
-321,1632
-8915,-3101
-8262,-9246
4244,-1302
7584,5329
-3650,-1158
-8165,-4440
-1657,1898
3253,4895
-523,-3325
-3162,-6328
6341,4172
11518,4488
-1892,-5143
-11277,-10663
-11002,-13203
-5231,-7154
-7870,-5444
-10843,-6211
-1283,442
4950,3277
2963,1978
2164,-829
4728,-1960
8547,434
1484,-2296
-5060,-4360
2393,374
9493,5851
7406,7316
2377,8026
1678,8019
-647,3495
-2687,323
-765,2714
-2812,-2085
1629,-4336
4613,3292
-452,2072
-1879,-2002
-252,-173
-2184,1661
-4667,496
-3826,-3795
1908,-3002
2187,477
-2333,2700
769,4299
9190,6345
7857,9254
2036,6357
4753,2913
4065,274
-358,-3845
-835,-1956
-3506,-3964
-6749,-12744
-6208,-8335
-2602,-1463
-54,-1422
349,-405
2006,5273
-2113,2033
-4498,-3540
-3852,-5099
-3663,-4973
-241,-1756
-561,-1477
1371,-2367
3707,2350
-530,6754
-3083,2884
526,2134
5219,3860
336,378
-106,4038
2456,3134
409,678
-953,2987
-3712,211
465,447
4498,1856
-1938,-2426
-151,-941
6492,2711
970,-3353
-7021,-7687
-3452,-3780
550,-5403
-6164,-11506
-9666,-9818
-1636,-858
3325,6575
1441,7634
422,5749
-1954,1781
-2719,-647
-3614,-5387
-5858,-14394
-7720,-17016
-5788,-8221
-3591,-2881
-5313,-6435
-4561,-1315
-608,7033
-1909,1298
-9692,-14941
-7331,-12607
1237,-946
2990,-3125
810,-1304
3324,8918
3669,11830
-555,5816
-3582,-2382
-562,-2131
4404,3362
3639,-1495
1442,-8719
927,-4887
2742,4638
-754,960
-2828,-1858
3501,6258
742,7611
-5373,-5328
-748,-4682
2342,3689
6093,1227
7794,-172
2033,3174
-34,5847
4683,7603
5733,6827
994,7104
1752,7494
6536,5822
2954,-97
-3360,-2338
1246,969
8111,2106
461,1593
-5797,-4317
6408,-239
7103,3526
-4417,-3414
-5412,-7419
-2042,-6683
-376,-6400
-3564,-3961
-4775,-2403
694,2903
-844,5645
-1045,6303
1773,3451
253,-1723
1988,-237
3078,1787
4958,1342
3698,1555
-506,2963
3716,8125
6945,7119
5138,941
-1902,-649
-3138,61
395,-2543
-3381,-5443
-1724,450
-1164,1492
948,588
1214,-228
-720,-3406
530,-3938
-2630,-6293
-5442,-6557
-7585,-5996
-9639,-4787
-5160,1392
-902,2964
-2687,-3322
-3256,-4860
-4492,-4019
-4730,-8133
-4928,-10496
-10288,-5305
-7373,-85
-1916,872
-330,-738
-4059,-4070
-2454,-1059
3152,1702
-1991,-4268
-4453,-3757
1474,4787
2778,2444
-2545,-798
-2237,1279
1969,-2593
-980,-7626
-547,-3761
169,1990
-822,1712
1505,-1219
4410,6164
3763,10578
6224,6643
10392,-222
11844,3866
2121,7067
-6147,-3572
-699,-6679
878,503
-1957,4290
-3742,793
662,994
863,-99
-430,1997
3319,4563
3390,-2615
2727,-4124
2617,2634
3270,3114
6385,1601
437,472
-1685,904
1091,2650
-3403,-3468
-2901,-9294
-107,-1790
2612,4199
5531,2888
8258,6368
8746,12257
1431,5425
-4804,-4964
-6997,-2999
-11364,-4719
-9047,-8085
-556,-3652
3142,3824
851,5799
2803,5366
4558,507
-2378,-4418
-5413,-3570
-2722,-5464
3966,-5418
4899,170
-1581,2257
-4524,1032
439,83
1974,1410
866,5223
2510,6145
4049,3743
-1005,-1094
-5845,-3708
-4311,-5495
-304,-2051
-3664,-1811
-7933,-1838
-3316,905
2699,993
-2388,-4791
-4087,-5368
1806,-1324
2993,-2304
-2210,-6265
-6388,-3187
-2414,1190
830,1642
1529,2591
2297,2613
52,-3187
-5636,-10751
-4177,-5844
-3819,-4141
-9558,-6922
-10164,-5001
-347,1647
-2734,-308
-3596,-2278
6734,3529
5678,3436
967,-1345
3313,-1046
3801,2932
2109,-562
1259,-3861
-1627,2098
-6798,1380
-3686,-3149
4015,2490
471,4750
902,5593
5785,1215
3209,-549
1691,1835
812,518
-107,-3252
602,-1409
2414,3081
1902,7938
-6853,2145
-4095,404
-1815,621
-8698,-5282
-3833,-8275
5151,-1416
4108,1633
5492,6394
6213,3842
-749,-2463
-3227,1038
-1596,5388
-1582,1688
3194,2005
7404,6231
3587,1442
-2266,-3444
180,-2981
4170,1917
6362,7210
-946,1951
1235,-2472
6509,2339
2383,1442
-1565,-1669
91,-4565
2235,-2933
-1738,-1199
-2297,-1431
-891,-4550
-6942,-3936
-8478,680
-7013,-3804
-5634,-8074
-430,-5794
3570,-1132
4699,-305
4057,2046
2228,1132
1144,-536
-4463,2751
-5904,1305
-2794,-288
-704,12
-2137,-1602
-311,-1251
-533,-1293
-3942,-2765
-1849,1569
5254,4687
1318,-2422
-1435,-4298
-2706,-3607
-208,-3554
1083,-1144
-2636,-1951
-2537,-1477
3167,3880
6791,6566
2909,4534
-623,3955
3327,7521
4832,5318
-1498,-2994
-7136,-7880
-1179,-1553
-3200,-3142
-2908,-5244
4972,5068
5532,8120
3521,4543
2969,2051
-1086,-3916
1123,-2287
3631,-2271
-184,-1964
-3157,2824
-2781,3135
-1218,1085
-3107,303
-5770,749
-1664,-1884
-1841,-6355
-7380,-10483
-8773,-10207
-5486,-4391
-1985,-562
-141,133
5596,7150
5440,10514
-105,-1531
-679,-8225
-5041,-8378
-4124,-4020
166,-4655
-987,-7500
-781,294
4091,10202
4807,3483
1486,-1917
-1389,5184
-4170,5957
718,2505
1397,-2346
-2580,-3486
-1910,-752
2487,588
871,-927
-3630,-3960
-1732,1057
6238,8360
1690,3331
-5084,-6345
6749,1863
11793,10276
2790,3525
-671,-2147
1909,4457
3963,10268
-4379,1962
-10056,-6217
-4757,-2914
-3272,151
-2383,-574
-1439,-4218
1623,-2784
4348,3040
1243,1337
-1685,-5589
-5352,-8383
-6562,-4676
-5236,-2664
-3922,-3772
5368,-808
8202,4457
3872,5645
4656,1891
6693,-17
2632,2268
351,236
1264,1734
3326,6663
2141,8660
2102,7318
-986,5127
-4153,4281
-7219,-3279
-9428,-9821
-5573,-10031
-4090,-4997
-669,-1062
5229,1750
6078,6089
4365,8255
-3281,-99
-8762,-9842
-11453,-11411
-8846,-9577
-247,-4478
1208,-2799
2771,614
5899,7638
6223,8471
1901,1121
-2000,-1256
627,1417
3015,1207
2668,62
4200,125
8455,5147
7131,6442
-908,2442
-2909,-534
-1186,-3193
-6338,-9243
-7318,-7605
-2156,-4105
-2454,-5258
800,-2052
831,3583
-3366,2509
-1695,298
1173,418
-4082,932
-8368,-3276
-4397,-6077
162,-5808
2749,-1099
7603,2059
10339,3002
7666,5100
3489,7169
-4217,2551
-7333,-5772
-1165,-3798
1572,3252
-679,603
5124,-1107
13000,6349
9462,12816
54,4933
819,706
4925,3880
2684,3208
-5761,-5769
-9250,-12712
-1821,-4787
4092,-1358
256,-6148
-3584,-7425
980,-1182
219,2713
-9591,444
-13514,-5562
-5809,-4666
-305,1374
-178,-804
1673,-4013
9027,-250
10466,5444
2444,1440
-4523,-6572
-2810,-8858
1439,-968
-4304,2100
-6520,-3538
-2559,-3837
3310,4200
4325,6864
-1710,-1083
-1018,-2854
3886,4461
2708,3771
-539,-2143
-2060,-4077
-1090,-5184
-1360,-3658
-4741,-4469
-3814,-6159
583,-1832
1698,3953
-973,3207
-1360,1323
2613,1771
-154,2461
-3128,1981
-3703,-2554
-1890,-3443
-244,-1628
-587,378
-1535,-1908
536,-2643
4651,-1757
3876,-3399
-1732,-5535
-2105,-6350
-2148,-6591
-2191,-4492
-2773,-5110
-2111,-3912
1568,938
5374,4335
3813,1293
2875,1808
1933,1532
997,-2654
410,-6911
1506,-6329
2548,-4976
-168,-8838
-4081,-12082
-3332,-8064
1483,-2882
2237,-3858
-234,-3601
658,1071
1278,1788
702,-1094
-1452,-3600
-2954,-2864
-2495,-2008
-3195,-4256
-3216,-5724
-2243,-4988
-1791,-4056
-1554,-4729
322,-3730
2392,-3558
1546,-5564
-2150,-6353
-1899,-5270
-176,-4853
2437,-3539
2928,-2136
4315,930
7365,1723
8165,1905
7338,1918
6925,1522
5912,1436
