ecg,emg_cheekbone,ksr,emg_nose,pulse
2.82352948,2.82352948,2.82352948,2.49019599,0.90196079
2.86274505,2.86274505,2.86274505,2.49019599,0.90196079
2.90196085,2.90196085,2.90196085,2.50980401,0.88235295
2.78431368,2.78431368,2.78431368,2.47058821,0.88235295
2.82352948,2.82352948,2.82352948,2.45098042,0.92156863
2.84313726,2.84313726,2.84313726,2.47058821,0.90196079
2.80392146,2.80392146,2.80392146,2.50980401,0.90196079
2.86274505,2.86274505,2.86274505,2.49019599,0.90196079
2.86274505,2.86274505,2.86274505,2.47058821,0.90196079
2.86274505,2.86274505,2.86274505,2.47058821,0.90196079
2.82352948,2.82352948,2.82352948,2.49019599,0.92156863
2.84313726,2.84313726,2.84313726,2.47058821,0.92156863
2.84313726,2.84313726,2.84313726,2.49019599,0.90196079
2.78431368,2.78431368,2.78431368,2.49019599,0.90196079
2.82352948,2.82352948,2.82352948,2.49019599,0.90196079
2.94117641,2.94117641,2.94117641,2.52941179,0.90196079
2.90196085,2.90196085,2.90196085,2.50980401,0.90196079
2.82352948,2.82352948,2.82352948,2.45098042,0.92156863
2.92156863,2.92156863,2.92156863,2.49019599,0.92156863
2.94117641,2.94117641,2.94117641,2.56862736,0.92156863
2.86274505,2.86274505,2.86274505,2.52941179,0.92156863
2.78431368,2.78431368,2.78431368,2.45098042,0.90196079
2.68627453,2.68627453,2.68627453,2.47058821,0.90196079
2.70588231,2.70588231,2.70588231,2.50980401,0.90196079
2.66666675,2.66666675,2.66666675,2.47058821,0.92156863
2.64705873,2.64705873,2.64705873,2.47058821,0.92156863
2.52941179,2.52941179,2.52941179,2.52941179,0.92156863
2.60784316,2.60784316,2.60784316,2.52941179,0.92156863
2.58823538,2.58823538,2.58823538,2.49019599,0.92156863
2.52941179,2.52941179,2.52941179,2.47058821,0.90196079
2.43137264,2.43137264,2.43137264,2.45098042,0.90196079
2.29411769,2.29411769,2.29411769,2.49019599,0.90196079
2.33333325,2.33333325,2.33333325,2.49019599,0.92156863
2.33333325,2.33333325,2.33333325,2.47058821,0.94117647
2.29411769,2.29411769,2.29411769,2.47058821,0.92156863
2.31372547,2.31372547,2.31372547,2.47058821,0.92156863
2.31372547,2.31372547,2.31372547,2.45098042,0.92156863
2.2352941,2.2352941,2.2352941,2.43137264,0.92156863
2.25490189,2.25490189,2.25490189,2.41176462,0.92156863
2.17647052,2.17647052,2.17647052,2.49019599,0.92156863
2.2352941,2.2352941,2.2352941,2.49019599,0.92156863
2.17647052,2.17647052,2.17647052,2.47058821,0.94117647
2.13725495,2.13725495,2.13725495,2.47058821,0.94117647
2.15686274,2.15686274,2.15686274,2.49019599,0.94117647
2.2352941,2.2352941,2.2352941,2.49019599,0.94117647
2.21568632,2.21568632,2.21568632,2.50980401,0.94117647
2.27450991,2.27450991,2.27450991,2.50980401,0.92156863
2.15686274,2.15686274,2.15686274,2.49019599,0.92156863
2.09803915,2.09803915,2.09803915,2.49019599,0.92156863
2.05882359,2.05882359,2.05882359,2.47058821,0.92156863
2.01960778,2.01960778,2.01960778,2.47058821,0.94117647
2.13725495,2.13725495,2.13725495,2.47058821,0.96078432
2.21568632,2.21568632,2.21568632,2.52941179,0.96078432
2.09803915,2.09803915,2.09803915,2.54901958,0.96078432
2.11764717,2.11764717,2.11764717,2.50980401,0.96078432
2.17647052,2.17647052,2.17647052,2.45098042,0.96078432
2.21568632,2.21568632,2.21568632,2.45098042,0.98039216
2.13725495,2.13725495,2.13725495,2.47058821,1.0
2.13725495,2.13725495,2.13725495,2.45098042,1.0
2.19607854,2.19607854,2.19607854,2.47058821,1.0
2.15686274,2.15686274,2.15686274,2.43137264,1.0196079
2.2352941,2.2352941,2.2352941,2.47058821,1.0196079
2.29411769,2.29411769,2.29411769,2.45098042,1.05882359
2.2352941,2.2352941,2.2352941,2.45098042,1.05882359
2.15686274,2.15686274,2.15686274,2.43137264,1.05882359
2.17647052,2.17647052,2.17647052,2.43137264,1.07843137
2.29411769,2.29411769,2.29411769,2.43137264,1.11764705
2.27450991,2.27450991,2.27450991,2.41176462,1.11764705
2.29411769,2.29411769,2.29411769,2.45098042,1.11764705
2.17647052,2.17647052,2.17647052,2.52941179,1.17647064
2.29411769,2.29411769,2.29411769,2.54901958,1.17647064
2.2352941,2.2352941,2.2352941,2.54901958,1.2352941
