ecg,emg_cheekbone,ksr,emg_nose,pulse
2.41176462,2.41176462,2.41176462,,
2.47058821,2.47058821,2.47058821,2.45098042,2.0392158
2.25490189,2.25490189,2.25490189,2.39215684,2.01960778
2.21568632,2.21568632,2.21568632,2.47058821,2.0
2.37254906,2.37254906,2.37254906,2.84313726,1.9803921
2.43137264,2.43137264,2.43137264,2.9607842,1.9803921
2.17647052,2.17647052,2.17647052,2.84313726,1.96078432
2.33333325,2.33333325,2.33333325,2.37254906,1.94117641
2.35294127,2.35294127,2.35294127,2.41176462,1.94117641
2.39215684,2.39215684,2.39215684,2.56862736,1.96078432
2.37254906,2.37254906,2.37254906,2.86274505,1.92156863
2.21568632,2.21568632,2.21568632,2.84313726,1.92156863
2.27450991,2.27450991,2.27450991,2.70588231,1.90196073
2.19607854,2.19607854,2.19607854,2.43137264,1.88235295
2.31372547,2.31372547,2.31372547,2.37254906,1.86274505
2.33333325,2.33333325,2.33333325,2.47058821,1.86274505
2.31372547,2.31372547,2.31372547,2.72549009,1.86274505
2.39215684,2.39215684,2.39215684,2.9607842,1.82352936
2.33333325,2.33333325,2.33333325,2.92156863,1.80392158
2.39215684,2.39215684,2.39215684,2.78431368,1.84313726
2.39215684,2.39215684,2.39215684,2.47058821,1.78431368
2.35294127,2.35294127,2.35294127,2.45098042,1.78431368
2.37254906,2.37254906,2.37254906,2.56862736,1.7647059
2.29411769,2.29411769,2.29411769,2.90196085,1.74509799
2.29411769,2.29411769,2.29411769,3.0392158,1.74509799
2.35294127,2.35294127,2.35294127,2.94117641,1.72549021
2.25490189,2.25490189,2.25490189,2.66666675,1.74509799
2.25490189,2.25490189,2.25490189,2.41176462,1.70588231
2.37254906,2.37254906,2.37254906,2.43137264,1.68627453
2.41176462,2.41176462,2.41176462,2.56862736,1.70588231
2.29411769,2.29411769,2.29411769,2.86274505,1.66666663
2.2352941,2.2352941,2.2352941,2.84313726,1.68627453
2.39215684,2.39215684,2.39215684,2.52941179,1.66666663
2.33333325,2.33333325,2.33333325,2.50980401,1.66666663
2.29411769,2.29411769,2.29411769,2.80392146,1.64705884
2.39215684,2.39215684,2.39215684,3.09803915,1.66666663
2.50980401,2.50980401,2.50980401,3.35294127,1.62745094
2.64705873,2.64705873,2.64705873,3.41176462,1.62745094
2.49019599,2.49019599,2.49019599,3.31372547,1.58823526
2.52941179,2.52941179,2.52941179,2.92156863,1.58823526
2.27450991,2.27450991,2.27450991,2.78431368,1.58823526
2.31372547,2.31372547,2.31372547,2.80392146,1.58823526
2.33333325,2.33333325,2.33333325,2.98039222,1.58823526
2.35294127,2.35294127,2.35294127,3.0392158,1.58823526
2.35294127,2.35294127,2.35294127,2.90196085,1.56862748
2.39215684,2.39215684,2.39215684,2.62745094,1.56862748
2.35294127,2.35294127,2.35294127,2.39215684,1.52941179
2.41176462,2.41176462,2.41176462,2.43137264,1.54901958
2.39215684,2.39215684,2.39215684,2.54901958,1.52941179
2.41176462,2.41176462,2.41176462,2.80392146,1.50980389
2.39215684,2.39215684,2.39215684,2.82352948,1.50980389
2.39215684,2.39215684,2.39215684,2.72549009,1.50980389
2.35294127,2.35294127,2.35294127,2.41176462,1.50980389
2.35294127,2.35294127,2.35294127,2.21568632,1.49019611
2.31372547,2.31372547,2.31372547,2.29411769,1.49019611
2.27450991,2.27450991,2.27450991,2.43137264,1.50980389
2.27450991,2.27450991,2.27450991,2.60784316,1.47058821
2.45098042,2.45098042,2.45098042,2.45098042,1.47058821
2.43137264,2.43137264,2.43137264,2.15686274,1.47058821
2.39215684,2.39215684,2.39215684,2.13725495,1.47058821
2.35294127,2.35294127,2.35294127,2.21568632,1.45098042
2.41176462,2.41176462,2.41176462,2.47058821,1.47058821
2.39215684,2.39215684,2.39215684,2.60784316,1.45098042
2.37254906,2.37254906,2.37254906,2.50980401,1.43137252
2.29411769,2.29411769,2.29411769,2.21568632,1.45098042
2.33333325,2.33333325,2.33333325,1.9803921,1.41176474
2.49019599,2.49019599,2.49019599,1.96078432,1.43137252
2.52941179,2.52941179,2.52941179,2.0392158,1.45098042
2.50980401,2.50980401,2.50980401,2.27450991,1.41176474
2.45098042,2.45098042,2.45098042,2.2352941,1.41176474
2.2352941,2.2352941,2.2352941,2.07843137,1.43137252
2.45098042,2.45098042,2.45098042,1.58823526,1.41176474
2.33333325,2.33333325,2.33333325,1.56862748,1.41176474
2.52941179,2.52941179,2.52941179,1.68627453,1.41176474
2.54901958,2.54901958,2.54901958,1.90196073,1.41176474
2.56862736,2.56862736,2.56862736,1.92156863,1.39215684
2.45098042,2.45098042,2.45098042,1.86274505,1.37254906
2.43137264,2.43137264,2.43137264,1.72549021,1.39215684
2.39215684,2.39215684,2.39215684,1.78431368,1.39215684
2.39215684,2.39215684,2.39215684,1.94117641,1.39215684
2.29411769,2.29411769,2.29411769,2.27450991,1.41176474
2.37254906,2.37254906,2.37254906,2.41176462,1.39215684
2.27450991,2.27450991,2.27450991,2.41176462,1.39215684
2.43137264,2.43137264,2.43137264,2.2352941,1.37254906
2.49019599,2.49019599,2.49019599,2.05882359,1.41176474
2.50980401,2.50980401,2.50980401,2.05882359,1.37254906
2.41176462,2.41176462,2.41176462,2.19607854,1.39215684
2.35294127,2.35294127,2.35294127,2.49019599,1.37254906
2.45098042,2.45098042,2.45098042,2.52941179,1.39215684
2.39215684,2.39215684,2.39215684,2.47058821,1.39215684
2.35294127,2.35294127,2.35294127,2.25490189,1.37254906
2.35294127,2.35294127,2.35294127,2.15686274,1.37254906
2.43137264,2.43137264,2.43137264,2.19607854,1.37254906
2.39215684,2.39215684,2.39215684,2.37254906,1.37254906
2.47058821,2.47058821,2.47058821,2.58823538,1.35294116
2.47058821,2.47058821,2.47058821,2.56862736,1.35294116
2.47058821,2.47058821,2.47058821,2.21568632,1.35294116
2.35294127,2.35294127,2.35294127,2.21568632,1.39215684
2.35294127,2.35294127,2.35294127,2.27450991,1.35294116
2.54901958,2.54901958,2.54901958,2.54901958,1.35294116
2.49019599,2.49019599,2.49019599,2.68627453,1.35294116
2.47058821,2.47058821,2.47058821,2.60784316,1.33333337
2.58823538,2.58823538,2.58823538,2.41176462,1.35294116
2.54901958,2.54901958,2.54901958,2.25490189,1.35294116
2.39215684,2.39215684,2.39215684,2.25490189,1.35294116
2.27450991,2.27450991,2.27450991,2.35294127,1.33333337
2.2352941,2.2352941,2.2352941,2.66666675,1.35294116
2.54901958,2.54901958,2.54901958,2.66666675,1.35294116
2.60784316,2.60784316,2.60784316,2.52941179,1.35294116
2.56862736,2.56862736,2.56862736,2.31372547,1.35294116
2.58823538,2.58823538,2.58823538,2.29411769,1.35294116
2.64705873,2.64705873,2.64705873,2.29411769,1.31372547
2.66666675,2.66666675,2.66666675,2.45098042,1.33333337
2.60784316,2.60784316,2.60784316,2.66666675,1.33333337
2.64705873,2.64705873,2.64705873,2.60784316,1.35294116
2.90196085,2.90196085,2.90196085,2.54901958,1.33333337
2.94117641,2.94117641,2.94117641,2.31372547,1.35294116
2.80392146,2.80392146,2.80392146,2.29411769,1.33333337
2.68627453,2.68627453,2.68627453,2.31372547,1.31372547
2.49019599,2.49019599,2.49019599,2.54901958,1.31372547
2.60784316,2.60784316,2.60784316,2.66666675,1.31372547
2.56862736,2.56862736,2.56862736,2.43137264,1.31372547
2.54901958,2.54901958,2.54901958,2.25490189,1.31372547
2.66666675,2.66666675,2.66666675,2.25490189,1.31372547
2.64705873,2.64705873,2.64705873,2.35294127,1.33333337
2.62745094,2.62745094,2.62745094,2.66666675,1.31372547
2.49019599,2.49019599,2.49019599,2.70588231,1.29411769
2.37254906,2.37254906,2.37254906,2.56862736,1.29411769
2.33333325,2.33333325,2.33333325,2.37254906,1.29411769
2.33333325,2.33333325,2.33333325,2.25490189,1.29411769
2.25490189,2.25490189,2.25490189,2.25490189,1.29411769
2.11764717,2.11764717,2.11764717,2.39215684,1.31372547
2.09803915,2.09803915,2.09803915,2.64705873,1.31372547
2.19607854,2.19607854,2.19607854,2.58823538,1.31372547
2.21568632,2.21568632,2.21568632,2.49019599,1.31372547
2.29411769,2.29411769,2.29411769,2.2352941,1.31372547
2.27450991,2.27450991,2.27450991,2.27450991,1.31372547
2.29411769,2.29411769,2.29411769,2.50980401,1.29411769
2.31372547,2.31372547,2.31372547,2.60784316,1.29411769
2.17647052,2.17647052,2.17647052,2.52941179,1.31372547
2.39215684,2.39215684,2.39215684,2.39215684,1.31372547
2.39215684,2.39215684,2.39215684,2.2352941,1.31372547
2.29411769,2.29411769,2.29411769,2.21568632,1.31372547
2.35294127,2.35294127,2.35294127,2.25490189,1.29411769
2.37254906,2.37254906,2.37254906,2.56862736,1.29411769
2.41176462,2.41176462,2.41176462,2.56862736,1.29411769
2.54901958,2.54901958,2.54901958,2.47058821,1.29411769
2.70588231,2.70588231,2.70588231,2.27450991,1.29411769
2.68627453,2.68627453,2.68627453,2.2352941,1.31372547
2.92156863,2.92156863,2.92156863,2.2352941,1.29411769
2.92156863,2.92156863,2.92156863,2.39215684,1.31372547
3.15686274,3.15686274,3.15686274,2.62745094,1.33333337
3.54901958,3.54901958,3.54901958,2.54901958,1.31372547
3.70588231,3.70588231,3.70588231,2.45098042,1.33333337
3.94117641,3.94117641,3.94117641,2.21568632,1.33333337
4.05882359,4.05882359,4.05882359,2.2352941,1.31372547
3.9607842,3.9607842,3.9607842,2.2352941,1.31372547
3.64705873,3.64705873,3.64705873,2.49019599,1.33333337
3.21568632,3.21568632,3.21568632,2.64705873,1.33333337
2.70588231,2.70588231,2.70588231,2.56862736,1.33333337
2.29411769,2.29411769,2.29411769,2.21568632,1.33333337
1.86274505,1.86274505,1.86274505,2.15686274,1.31372547
1.25490201,1.25490201,1.25490201,2.2352941,1.33333337
1.15686274,1.15686274,1.15686274,2.56862736,1.35294116
1.2352941,1.2352941,1.2352941,2.62745094,1.33333337
1.31372547,1.31372547,1.31372547,2.49019599,1.33333337
1.47058821,1.47058821,1.47058821,2.31372547,1.33333337
1.56862748,1.56862748,1.56862748,2.2352941,1.33333337
1.58823526,1.58823526,1.58823526,2.2352941,1.37254906
1.94117641,1.94117641,1.94117641,2.37254906,1.33333337
2.0392158,2.0392158,2.0392158,2.60784316,1.35294116
2.33333325,2.33333325,2.33333325,2.58823538,1.37254906
2.41176462,2.41176462,2.41176462,2.45098042,1.37254906
2.25490189,2.25490189,2.25490189,2.19607854,1.35294116
2.29411769,2.29411769,2.29411769,2.27450991,1.35294116
2.35294127,2.35294127,2.35294127,2.52941179,1.37254906
2.47058821,2.47058821,2.47058821,2.66666675,1.35294116
2.47058821,2.47058821,2.47058821,2.54901958,1.39215684
2.37254906,2.37254906,2.37254906,2.39215684,1.39215684
2.41176462,2.41176462,2.41176462,2.25490189,1.39215684
2.41176462,2.41176462,2.41176462,2.29411769,1.37254906
2.50980401,2.50980401,2.50980401,2.33333325,1.37254906
2.62745094,2.62745094,2.62745094,2.68627453,1.41176474
2.66666675,2.66666675,2.66666675,2.74509811,1.37254906
2.47058821,2.47058821,2.47058821,2.62745094,1.37254906
2.47058821,2.47058821,2.47058821,2.43137264,1.37254906
2.41176462,2.41176462,2.41176462,2.31372547,1.39215684
2.45098042,2.45098042,2.45098042,2.31372547,1.41176474
2.45098042,2.45098042,2.45098042,2.49019599,1.39215684
2.35294127,2.35294127,2.35294127,2.7647059,1.39215684
2.49019599,2.49019599,2.49019599,2.70588231,1.41176474
2.52941179,2.52941179,2.52941179,2.54901958,1.41176474
2.62745094,2.62745094,2.62745094,2.29411769,1.41176474
2.52941179,2.52941179,2.52941179,2.31372547,1.45098042
2.49019599,2.49019599,2.49019599,2.33333325,1.43137252
2.50980401,2.50980401,2.50980401,2.60784316,1.45098042
2.45098042,2.45098042,2.45098042,2.7647059,1.45098042
2.50980401,2.50980401,2.50980401,2.70588231,1.45098042
2.49019599,2.49019599,2.49019599,2.56862736,1.47058821
2.52941179,2.52941179,2.52941179,2.39215684,1.47058821
2.49019599,2.49019599,2.49019599,2.50980401,1.49019611
2.47058821,2.47058821,2.47058821,2.80392146,1.49019611
2.70588231,2.70588231,2.70588231,2.88235283,1.49019611
2.56862736,2.56862736,2.56862736,2.80392146,1.52941179
2.60784316,2.60784316,2.60784316,2.62745094,1.54901958
2.60784316,2.60784316,2.60784316,2.52941179,1.54901958
2.47058821,2.47058821,2.47058821,2.52941179,1.54901958
2.52941179,2.52941179,2.52941179,2.64705873,1.54901958
2.82352948,2.82352948,2.82352948,2.92156863,1.58823526
2.74509811,2.74509811,2.74509811,2.88235283,1.58823526
2.60784316,2.60784316,2.60784316,2.7647059,1.58823526
2.72549009,2.72549009,2.72549009,2.52941179,1.58823526
2.70588231,2.70588231,2.70588231,2.52941179,1.58823526
2.60784316,2.60784316,2.60784316,2.56862736,1.62745094
2.70588231,2.70588231,2.70588231,2.82352948,1.62745094
2.74509811,2.74509811,2.74509811,2.9607842,1.62745094
2.72549009,2.72549009,2.72549009,2.86274505,1.62745094
2.7647059,2.7647059,2.7647059,2.68627453,1.64705884
2.62745094,2.62745094,2.62745094,2.43137264,1.66666663
2.78431368,2.78431368,2.78431368,2.45098042,1.66666663
2.86274505,2.86274505,2.86274505,2.49019599,1.68627453
2.72549009,2.72549009,2.72549009,2.78431368,1.66666663
2.78431368,2.78431368,2.78431368,2.86274505,1.68627453
2.94117641,2.94117641,2.94117641,2.7647059,1.72549021
2.92156863,2.92156863,2.92156863,2.43137264,1.68627453
3.0,3.0,3.0,2.41176462,1.70588231
2.98039222,2.98039222,2.98039222,2.50980401,1.72549021
2.90196085,2.90196085,2.90196085,2.74509811,1.72549021
2.84313726,2.84313726,2.84313726,2.66666675,1.72549021
2.84313726,2.84313726,2.84313726,2.54901958,1.7647059
2.88235283,2.88235283,2.88235283,2.29411769,1.74509799
2.9607842,2.9607842,2.9607842,2.2352941,1.7647059
3.11764717,3.11764717,3.11764717,2.25490189,1.78431368
3.05882359,3.05882359,3.05882359,2.45098042,1.78431368
3.05882359,3.05882359,3.05882359,2.56862736,1.7647059
3.05882359,3.05882359,3.05882359,2.47058821,1.78431368
2.9607842,2.9607842,2.9607842,2.33333325,1.80392158
3.17647052,3.17647052,3.17647052,2.13725495,1.78431368
3.21568632,3.21568632,3.21568632,2.11764717,1.78431368
3.15686274,3.15686274,3.15686274,2.45098042,1.78431368
3.29411769,3.29411769,3.29411769,2.50980401,1.80392158
3.2352941,3.2352941,3.2352941,2.39215684,1.80392158
3.27450991,3.27450991,3.27450991,2.21568632,1.80392158
3.49019599,3.49019599,3.49019599,2.13725495,1.82352936
3.2352941,3.2352941,3.2352941,2.13725495,1.84313726
3.19607854,3.19607854,3.19607854,2.27450991,1.84313726
3.17647052,3.17647052,3.17647052,2.52941179,1.82352936
3.17647052,3.17647052,3.17647052,2.54901958,1.82352936
3.21568632,3.21568632,3.21568632,2.43137264,1.82352936
3.2352941,3.2352941,3.2352941,2.19607854,1.84313726
3.19607854,3.19607854,3.19607854,2.13725495,1.84313726
3.21568632,3.21568632,3.21568632,2.11764717,1.82352936
3.09803915,3.09803915,3.09803915,2.31372547,1.82352936
2.88235283,2.88235283,2.88235283,2.43137264,1.82352936
2.84313726,2.84313726,2.84313726,2.31372547,1.82352936
