ecg,emg_cheekbone,ksr,emg_nose,pulse
1.86274505,1.86274505,1.86274505,2.45098042,1.66666663
1.84313726,1.84313726,1.84313726,2.52941179,1.66666663
1.80392158,1.80392158,1.80392158,2.54901958,1.66666663
1.80392158,1.80392158,1.80392158,2.52941179,1.62745094
1.84313726,1.84313726,1.84313726,2.50980401,1.66666663
1.84313726,1.84313726,1.84313726,2.50980401,1.62745094
1.80392158,1.80392158,1.80392158,2.52941179,1.62745094
1.74509799,1.74509799,1.74509799,2.50980401,1.62745094
1.74509799,1.74509799,1.74509799,2.47058821,1.60784316
1.78431368,1.78431368,1.78431368,2.47058821,1.60784316
1.80392158,1.80392158,1.80392158,2.41176462,1.58823526
1.80392158,1.80392158,1.80392158,2.37254906,1.56862748
1.84313726,1.84313726,1.84313726,2.43137264,1.60784316
1.80392158,1.80392158,1.80392158,2.49019599,1.56862748
1.82352936,1.82352936,1.82352936,2.54901958,1.54901958
1.80392158,1.80392158,1.80392158,2.56862736,1.56862748
1.86274505,1.86274505,1.86274505,2.54901958,1.54901958
1.90196073,1.90196073,1.90196073,2.50980401,1.52941179
1.94117641,1.94117641,1.94117641,2.52941179,1.52941179
1.92156863,1.92156863,1.92156863,2.54901958,1.52941179
1.9803921,1.9803921,1.9803921,2.54901958,1.50980389
1.9803921,1.9803921,1.9803921,2.50980401,1.49019611
1.9803921,1.9803921,1.9803921,2.47058821,1.50980389
2.07843137,2.07843137,2.07843137,2.49019599,1.49019611
2.0392158,2.0392158,2.0392158,2.50980401,1.47058821
2.01960778,2.01960778,2.01960778,2.49019599,1.47058821
2.07843137,2.07843137,2.07843137,2.49019599,1.45098042
2.05882359,2.05882359,2.05882359,2.49019599,1.43137252
2.09803915,2.09803915,2.09803915,2.47058821,1.41176474
2.09803915,2.09803915,2.09803915,2.45098042,1.41176474
2.15686274,2.15686274,2.15686274,2.49019599,1.41176474
2.15686274,2.15686274,2.15686274,2.47058821,1.41176474
2.19607854,2.19607854,2.19607854,2.43137264,1.39215684
2.19607854,2.19607854,2.19607854,2.41176462,1.37254906
2.19607854,2.19607854,2.19607854,2.41176462,1.35294116
2.21568632,2.21568632,2.21568632,2.43137264,1.33333337
2.25490189,2.25490189,2.25490189,2.47058821,1.33333337
2.25490189,2.25490189,2.25490189,2.49019599,1.31372547
2.29411769,2.29411769,2.29411769,2.49019599,1.31372547
2.25490189,2.25490189,2.25490189,2.47058821,1.31372547
2.29411769,2.29411769,2.29411769,2.45098042,1.29411769
2.29411769,2.29411769,2.29411769,2.45098042,1.29411769
2.35294127,2.35294127,2.35294127,2.47058821,1.27450979
2.25490189,2.25490189,2.25490189,2.43137264,1.27450979
2.25490189,2.25490189,2.25490189,2.43137264,1.25490201
2.21568632,2.21568632,2.21568632,2.45098042,1.25490201
2.29411769,2.29411769,2.29411769,2.43137264,1.2352941
2.2352941,2.2352941,2.2352941,2.43137264,1.21568632
2.29411769,2.29411769,2.29411769,2.45098042,1.19607842
2.29411769,2.29411769,2.29411769,2.47058821,1.19607842
2.31372547,2.31372547,2.31372547,2.47058821,1.17647064
2.33333325,2.33333325,2.33333325,2.47058821,1.17647064
2.33333325,2.33333325,2.33333325,2.47058821,1.15686274
2.31372547,2.31372547,2.31372547,2.47058821,1.17647064
2.33333325,2.33333325,2.33333325,2.47058821,1.15686274
2.35294127,2.35294127,2.35294127,2.45098042,1.13725495
2.35294127,2.35294127,2.35294127,2.43137264,1.11764705
2.37254906,2.37254906,2.37254906,2.41176462,1.11764705
