ecg,emg_cheekbone,ksr,emg_nose,pulse
2.82352948,2.82352948,2.82352948,2.13725495,1.50980389
2.72549009,2.72549009,2.72549009,2.2352941,1.52941179
2.56862736,2.56862736,2.56862736,2.39215684,1.50980389
2.60784316,2.60784316,2.60784316,2.56862736,1.50980389
2.49019599,2.49019599,2.49019599,2.56862736,1.50980389
2.58823538,2.58823538,2.58823538,2.47058821,1.52941179
2.68627453,2.68627453,2.68627453,2.21568632,1.52941179
2.70588231,2.70588231,2.70588231,2.13725495,1.52941179
2.60784316,2.60784316,2.60784316,2.27450991,1.54901958
2.45098042,2.45098042,2.45098042,2.47058821,1.54901958
2.33333325,2.33333325,2.33333325,2.52941179,1.54901958
2.54901958,2.54901958,2.54901958,2.50980401,1.56862748
2.49019599,2.49019599,2.49019599,2.15686274,1.56862748
2.49019599,2.49019599,2.49019599,2.21568632,1.56862748
2.47058821,2.47058821,2.47058821,2.33333325,1.58823526
2.31372547,2.31372547,2.31372547,2.54901958,1.58823526
2.13725495,2.13725495,2.13725495,2.58823538,1.58823526
2.27450991,2.27450991,2.27450991,2.52941179,1.60784316
2.54901958,2.54901958,2.54901958,2.29411769,1.60784316
2.74509811,2.74509811,2.74509811,2.17647052,1.62745094
2.54901958,2.54901958,2.54901958,2.25490189,1.62745094
2.39215684,2.39215684,2.39215684,2.43137264,1.64705884
2.27450991,2.27450991,2.27450991,2.58823538,1.66666663
2.25490189,2.25490189,2.25490189,2.58823538,1.64705884
2.43137264,2.43137264,2.43137264,2.50980401,1.68627453
2.58823538,2.58823538,2.58823538,2.21568632,1.70588231
2.70588231,2.70588231,2.70588231,2.15686274,1.70588231
2.54901958,2.54901958,2.54901958,2.27450991,1.68627453
2.33333325,2.33333325,2.33333325,2.41176462,1.70588231
2.21568632,2.21568632,2.21568632,2.54901958,1.72549021
2.29411769,2.29411769,2.29411769,2.50980401,1.72549021
2.58823538,2.58823538,2.58823538,2.35294127,1.74509799
2.74509811,2.74509811,2.74509811,2.15686274,1.72549021
2.74509811,2.74509811,2.74509811,2.17647052,1.72549021
2.60784316,2.60784316,2.60784316,2.31372547,1.7647059
2.58823538,2.58823538,2.58823538,2.54901958,1.7647059
2.29411769,2.29411769,2.29411769,2.58823538,1.80392158
2.35294127,2.35294127,2.35294127,2.35294127,1.80392158
2.47058821,2.47058821,2.47058821,2.15686274,1.82352936
2.52941179,2.52941179,2.52941179,2.25490189,1.84313726
2.49019599,2.49019599,2.49019599,2.41176462,1.84313726
2.33333325,2.33333325,2.33333325,2.58823538,1.86274505
2.29411769,2.29411769,2.29411769,2.58823538,1.88235295
2.49019599,2.49019599,2.49019599,2.50980401,1.86274505
