ecg,emg_cheekbone,ksr,emg_nose,pulse
2.90196085,2.90196085,2.90196085,2.43137264,1.82352936
2.98039222,2.98039222,2.98039222,2.49019599,1.82352936
3.21568632,3.21568632,3.21568632,2.52941179,1.82352936
3.52941179,3.52941179,3.52941179,2.47058821,1.82352936
3.15686274,3.15686274,3.15686274,2.47058821,1.82352936
2.86274505,2.86274505,2.86274505,2.47058821,1.82352936
2.56862736,2.56862736,2.56862736,2.47058821,1.82352936
2.92156863,2.92156863,2.92156863,2.47058821,1.82352936
3.2352941,3.2352941,3.2352941,2.52941179,1.82352936
3.64705873,3.64705873,3.64705873,2.52941179,1.80392158
3.64705873,3.64705873,3.64705873,2.50980401,1.80392158
3.29411769,3.29411769,3.29411769,2.47058821,1.80392158
2.98039222,2.98039222,2.98039222,2.49019599,1.80392158
2.82352948,2.82352948,2.82352948,2.52941179,1.80392158
2.86274505,2.86274505,2.86274505,2.56862736,1.80392158
3.15686274,3.15686274,3.15686274,2.54901958,1.80392158
3.47058821,3.47058821,3.47058821,2.52941179,1.78431368
3.17647052,3.17647052,3.17647052,2.50980401,1.78431368
2.92156863,2.92156863,2.92156863,2.49019599,1.78431368
2.21568632,2.21568632,2.21568632,2.54901958,1.78431368
2.09803915,2.09803915,2.09803915,2.58823538,1.7647059
2.17647052,2.17647052,2.17647052,2.54901958,1.7647059
2.86274505,2.86274505,2.86274505,2.54901958,1.7647059
2.94117641,2.94117641,2.94117641,2.50980401,1.7647059
2.64705873,2.64705873,2.64705873,2.47058821,1.7647059
2.15686274,2.15686274,2.15686274,2.49019599,1.74509799
1.70588231,1.70588231,1.70588231,2.56862736,1.74509799
1.86274505,1.86274505,1.86274505,2.56862736,1.74509799
2.37254906,2.37254906,2.37254906,2.52941179,1.74509799
2.09803915,2.09803915,2.09803915,2.50980401,1.72549021
1.74509799,1.74509799,1.74509799,2.47058821,1.72549021
1.29411769,1.29411769,1.29411769,2.47058821,1.72549021
1.35294116,1.35294116,1.35294116,2.49019599,1.72549021
1.31372547,1.31372547,1.31372547,2.56862736,1.70588231
1.62745094,1.62745094,1.62745094,2.54901958,1.70588231
1.96078432,1.96078432,1.96078432,2.52941179,1.70588231
1.94117641,1.94117641,1.94117641,2.50980401,1.70588231
1.88235295,1.88235295,1.88235295,2.50980401,1.68627453
1.39215684,1.39215684,1.39215684,2.50980401,1.68627453
1.45098042,1.45098042,1.45098042,2.52941179,1.68627453
1.70588231,1.70588231,1.70588231,2.54901958,1.68627453
1.92156863,1.92156863,1.92156863,2.50980401,1.68627453
1.86274505,1.86274505,1.86274505,2.47058821,1.66666663
1.82352936,1.82352936,1.82352936,2.45098042,1.66666663
1.52941179,1.52941179,1.52941179,2.47058821,1.66666663
1.33333337,1.33333337,1.33333337,2.47058821,1.66666663
1.50980389,1.50980389,1.50980389,2.47058821,1.66666663
1.70588231,1.70588231,1.70588231,2.49019599,1.66666663
2.21568632,2.21568632,2.21568632,2.47058821,1.66666663
