ecg,emg_cheekbone,ksr,emg_nose,pulse
1.94117641,1.94117641,1.94117641,2.50980401,1.47058821
2.33333325,2.33333325,2.33333325,2.49019599,1.45098042
2.78431368,2.78431368,2.78431368,2.50980401,1.49019611
2.68627453,2.68627453,2.68627453,2.49019599,1.45098042
2.47058821,2.47058821,2.47058821,2.47058821,1.45098042
2.25490189,2.25490189,2.25490189,2.47058821,1.45098042
2.29411769,2.29411769,2.29411769,2.47058821,1.43137252
3.37254906,3.37254906,3.37254906,2.50980401,1.45098042
3.88235283,3.88235283,3.88235283,2.52941179,1.43137252
4.17647076,4.17647076,4.17647076,2.47058821,1.41176474
4.21568632,4.21568632,4.21568632,2.45098042,1.43137252
4.25490189,4.25490189,4.25490189,2.49019599,1.41176474
4.17647076,4.17647076,4.17647076,2.50980401,1.39215684
4.09803915,4.09803915,4.09803915,2.50980401,1.41176474
3.94117641,3.94117641,3.94117641,2.52941179,1.41176474
3.33333325,3.33333325,3.33333325,2.49019599,1.39215684
2.64705873,2.64705873,2.64705873,2.49019599,1.41176474
1.88235295,1.88235295,1.88235295,2.49019599,1.39215684
1.52941179,1.52941179,1.52941179,2.50980401,1.37254906
1.29411769,1.29411769,1.29411769,2.50980401,1.37254906
1.70588231,1.70588231,1.70588231,2.50980401,1.39215684
2.21568632,2.21568632,2.21568632,2.52941179,1.37254906
1.96078432,1.96078432,1.96078432,2.52941179,1.35294116
1.96078432,1.96078432,1.96078432,2.47058821,1.37254906
1.70588231,1.70588231,1.70588231,2.49019599,1.39215684
1.82352936,1.82352936,1.82352936,2.54901958,1.37254906
2.43137264,2.43137264,2.43137264,2.54901958,1.35294116
2.58823538,2.58823538,2.58823538,2.50980401,1.35294116
2.2352941,2.2352941,2.2352941,2.47058821,1.37254906
2.0,2.0,2.0,2.47058821,1.37254906
1.96078432,1.96078432,1.96078432,2.47058821,1.35294116
1.78431368,1.78431368,1.78431368,2.50980401,1.33333337
2.01960778,2.01960778,2.01960778,2.54901958,1.35294116
2.60784316,2.60784316,2.60784316,2.56862736,1.35294116
2.62745094,2.62745094,2.62745094,2.54901958,1.35294116
2.41176462,2.41176462,2.41176462,2.49019599,1.33333337
2.05882359,2.05882359,2.05882359,2.47058821,1.33333337
1.94117641,1.94117641,1.94117641,2.50980401,1.35294116
1.88235295,1.88235295,1.88235295,2.54901958,1.35294116
2.33333325,2.33333325,2.33333325,2.54901958,1.33333337
2.70588231,2.70588231,2.70588231,2.50980401,1.33333337
2.66666675,2.66666675,2.66666675,2.50980401,1.35294116
2.45098042,2.45098042,2.45098042,2.49019599,1.35294116
2.09803915,2.09803915,2.09803915,2.50980401,1.33333337
2.07843137,2.07843137,2.07843137,2.52941179,1.31372547
2.15686274,2.15686274,2.15686274,2.56862736,1.33333337
2.78431368,2.78431368,2.78431368,2.54901958,1.35294116
